Date,Close/Last,Volume,Open,High,Low
11/22/2024,$512.15,2287614,$502.50,$513.37,$502.50
11/21/2024,$504.44,2002094,$502.10,$508.57,$493.10
11/20/2024,$499.50,1874910,$505.41,$506.36,$494.61
11/19/2024,$499.61,1961731,$496.00,$502.41,$495.46
11/18/2024,$499.51,2259651,$505.00,$505.51,$497.69
11/15/2024,$503.37,4612417,$520.30,$524.4999,$498.81
11/14/2024,$529.87,3098800,$530.55,$534.6399,$523.46
11/13/2024,$532.50,3470174,$523.79,$539.92,$520.59
11/12/2024,$526.42,4125288,$504.39,$528.91,$504.27
11/11/2024,$504.48,3536599,$493.60,$507.72,$493.60
11/08/2024,$494.68,2856859,$503.83,$505.00,$493.69
11/07/2024,$500.92,2640295,$510.655,$510.655,$495.30
11/06/2024,$504.83,2969855,$492.93,$506.21,$492.93
11/05/2024,$486.42,1588149,$483.09,$486.659,$480.47
11/04/2024,$481.35,1955249,$479.03,$483.76,$477.37
11/01/2024,$482.80,2852008,$475.41,$485.16,$475.05
10/31/2024,$478.08,2978688,$486.00,$486.05,$477.38
10/30/2024,$486.68,2728573,$482.24,$492.20,$482.24
10/29/2024,$485.39,2089505,$481.92,$487.56,$479.33
10/28/2024,$481.04,2302255,$487.65,$488.49,$480.48
10/25/2024,$483.72,2426769,$483.42,$488.34,$482.52
10/24/2024,$482.87,2100308,$486.63,$488.47,$480.06
10/23/2024,$485.03,2021316,$492.00,$493.83,$483.391
10/22/2024,$493.11,2388721,$496.43,$497.34,$488.36
10/21/2024,$497.71,1679657,$494.60,$500.6499,$492.96
10/18/2024,$494.90,2011121,$491.29,$499.00,$491.0501
10/17/2024,$496.83,2769241,$506.51,$507.50,$495.23
10/16/2024,$502.54,1859116,$506.39,$506.84,$500.25
10/15/2024,$508.03,3605675,$513.82,$517.772,$506.80
10/14/2024,$509.65,3411497,$501.80,$514.26,$500.41
10/11/2024,$495.42,2992409,$504.78,$507.9799,$494.90
10/10/2024,$503.57,2775102,$490.54,$506.45,$489.35
10/09/2024,$494.08,2869417,$495.88,$495.88,$492.32
10/08/2024,$496.24,3551609,$492.45,$500.00,$486.40
10/07/2024,$487.30,4870534,$503.96,$504.87,$486.40
10/04/2024,$507.22,1949994,$507.29,$508.56,$503.5901
10/03/2024,$503.80,1921604,$501.02,$509.81,$498.59
10/02/2024,$505.81,1981848,$503.87,$510.19,$502.8201
10/01/2024,$502.80,3730026,$517.45,$519.00,$502.50
09/30/2024,$517.78,2588151,$513.83,$518.47,$511.74
09/27/2024,$515.48,2718323,$516.52,$516.6799,$512.30
09/26/2024,$515.38,3282437,$520.51,$521.355,$512.11
09/25/2024,$517.90,3211612,$526.02,$526.18,$516.24
09/24/2024,$524.07,2842054,$527.72,$530.2999,$521.71
09/23/2024,$527.87,2106995,$525.71,$532.00,$524.955
09/20/2024,$522.30,6100685,$526.44,$528.625,$515.72
09/19/2024,$526.44,3582532,$518.81,$527.48,$518.02
09/18/2024,$508.13,3997267,$517.01,$517.58,$506.4901
09/17/2024,$515.03,5164089,$524.29,$527.0999,$514.58
09/16/2024,$521.50,5248205,$537.40,$537.69,$521.26
09/13/2024,$536.87,10423510,$532.565,$540.27,$526.60
09/12/2024,$586.55,5605338,$581.445,$587.75,$572.98
09/11/2024,$580.38,2680977,$573.01,$581.24,$559.35
09/10/2024,$574.48,2030076,$576.75,$577.80,$567.14
09/09/2024,$569.88,1997121,$567.69,$574.57,$564.44
09/06/2024,$563.41,2096790,$570.90,$573.31,$558.00
09/05/2024,$567.93,1573571,$570.75,$573.39,$562.53
09/04/2024,$575.25,1615787,$568.87,$578.86,$565.76
09/03/2024,$571.04,2757929,$576.30,$586.695,$566.79
08/30/2024,$574.41,1982970,$572.20,$575.65,$568.2865
08/29/2024,$569.63,1955588,$567.05,$578.40,$567.05
08/28/2024,$560.54,1289699,$568.22,$569.59,$557.67
08/27/2024,$567.82,1404415,$554.40,$569.52,$554.3439
08/26/2024,$559.44,1387479,$555.03,$560.26,$555.03
08/23/2024,$558.30,2023465,$565.45,$566.52,$552.50
08/22/2024,$557.44,1627658,$567.07,$572.00,$555.65
08/21/2024,$565.79,1401708,$562.13,$566.60,$557.91
08/20/2024,$562.25,1219609,$564.48,$568.18,$559.61
08/19/2024,$563.12,1423293,$550.59,$563.77,$550.59
08/16/2024,$553.46,1541726,$552.35,$554.76,$547.80
08/15/2024,$554.16,2182382,$545.19,$557.22,$545.01
08/14/2024,$539.79,1915589,$536.62,$542.9205,$533.20
08/13/2024,$535.22,3063918,$530.93,$537.72,$527.90
08/12/2024,$530.93,1450410,$536.04,$538.08,$525.77
08/09/2024,$536.30,1272635,$528.02,$537.28,$528.02
08/08/2024,$530.24,2155115,$520.59,$531.07,$519.56
08/07/2024,$513.62,1663682,$520.95,$531.005,$512.86
08/06/2024,$514.20,2076327,$513.69,$519.16,$509.01
08/05/2024,$509.32,3432155,$504.23,$515.90,$500.00
08/02/2024,$526.17,2729113,$535.78,$536.84,$519.68
08/01/2024,$546.41,2075410,$549.99,$561.98,$540.24
07/31/2024,$551.65,2776002,$547.05,$555.55,$543.77
07/30/2024,$538.71,1566875,$541.85,$543.67,$530.9501
07/29/2024,$536.61,1590551,$544.30,$544.30,$535.19
07/26/2024,$542.44,2090007,$535.35,$545.4999,$533.33
07/25/2024,$532.15,2136496,$536.80,$542.28,$527.59
07/24/2024,$531.04,2630081,$543.80,$544.71,$530.35
07/23/2024,$546.01,2363881,$556.49,$557.249,$544.44
07/22/2024,$554.82,2391696,$558.65,$560.19,$552.7074
07/19/2024,$551.00,2601942,$557.05,$561.09,$548.96
07/18/2024,$556.85,2184657,$564.18,$564.26,$556.07
07/17/2024,$563.09,2316265,$563.93,$565.00,$556.46
07/16/2024,$566.54,1539875,$564.60,$570.10,$562.08
07/15/2024,$565.71,1887763,$560.23,$568.23,$560.23
07/12/2024,$559.05,2013985,$555.10,$562.49,$552.315
07/11/2024,$557.63,3191358,$564.00,$572.62,$557.09
07/10/2024,$564.55,2368443,$564.71,$566.93,$558.21
07/09/2024,$566.02,2169020,$573.05,$575.01,$562.46
07/08/2024,$575.40,3007422,$573.18,$576.745,$563.92
07/05/2024,$578.34,2808635,$570.91,$580.55,$568.92
07/03/2024,$570.15,1664373,$564.292,$571.83,$564.0001
07/02/2024,$567.71,3054491,$560.00,$570.14,$560.00
07/01/2024,$560.01,3070159,$551.37,$561.21,$549.73
06/28/2024,$555.54,5084543,$549.70,$558.48,$548.01
06/27/2024,$546.76,4734063,$533.21,$549.16,$532.10
06/26/2024,$528.66,2931667,$528.58,$530.66,$526.01
06/25/2024,$526.88,3144202,$526.20,$529.68,$522.24
06/24/2024,$524.17,3067824,$532.10,$534.58,$523.48
06/21/2024,$533.44,6614086,$530.31,$535.00,$524.715
06/20/2024,$522.95,5752373,$527.665,$533.23,$520.40
06/18/2024,$522.25,4225943,$514.71,$530.37,$513.13
06/17/2024,$518.74,7163820,$525.51,$525.94,$505.38
06/14/2024,$525.31,14846610,$530.25,$534.45,$521.88
06/13/2024,$458.74,8557963,$457.87,$462.3899,$453.50
06/12/2024,$459.87,3647447,$470.00,$471.12,$459.16
